date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:05	10517/10517	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Feb%202018%2011:55:02%20GMT	http://ethemes.com/demo/Dale/css/masterslider/grab.png	C:/Users/Bharath/Desktop/Templates/dale/ethemes.com/demo/Dale/css/masterslider/grab.5d.delayed	(from http://www.ethemes.com/demo/Dale/css/masterslider/masterslider.css)
17:25:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Feb%202018%2011:55:05%20GMT	http://www.ethemes.com/demo/Dale/css/masterslider/grabbing.png	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/masterslider/grabbing.5e.delayed	(from http://www.ethemes.com/demo/Dale/css/masterslider/masterslider.css)
17:25:10	10517/10517	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Feb%202018%2011:55:08%20GMT	http://ethemes.com/demo/Dale/css/masterslider/grabbing.png	C:/Users/Bharath/Desktop/Templates/dale/ethemes.com/demo/Dale/css/masterslider/grabbing.5f.delayed	(from http://www.ethemes.com/demo/Dale/css/masterslider/masterslider.css)
17:25:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Feb%202018%2011:55:11%20GMT	http://www.ethemes.com/demo/Dale/css/masterslider/style/grab.cur	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/masterslider/style/grab.60.delayed	(from http://www.ethemes.com/demo/Dale/css/masterslider/masterslider.css)
17:25:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Feb%202018%2011:55:13%20GMT	http://www.ethemes.com/demo/Dale/css/masterslider/style/grabbing.cur	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/masterslider/style/grabbing.cur	(from http://www.ethemes.com/demo/Dale/css/masterslider/masterslider.css)
17:25:16	2835/2835	---M--	200	added ('OK')	image/png	etag:%2237a1043-b13-5660fed9a7bd9%22	http://www.ethemes.com/demo/Dale/css/masterslider/skins/black-1/black-skin-1.png	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/masterslider/skins/black-1/black-skin-1.png	(from http://www.ethemes.com/demo/Dale/css/masterslider/skins/black-1/style.css)
17:25:17	5988/5988	---M--	200	added ('OK')	image/png	etag:%2237a1042-1764-5660fed9a54c9%22	http://www.ethemes.com/demo/Dale/css/masterslider/skins/black-1/black-skin-1-retina.png	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/masterslider/skins/black-1/black-skin-1-retina.png	(from http://www.ethemes.com/demo/Dale/css/masterslider/skins/black-1/style.css)
17:25:28	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2235e1abc-11b01-5660f7cba3930%22	http://www.ethemes.com/demo/Dale/fonts/fontawesome-webfont.eot?v=4.1.0	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/fonts/fontawesome-webfont862f.eot	(from http://www.ethemes.com/demo/Dale/css/font-awesome.min.css)
17:25:29	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2235e1abc-11b01-5660f7cba3930%22	http://www.ethemes.com/demo/Dale/fonts/fontawesome-webfont.eot?	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/fonts/fontawesome-webfontd41d.eot	(from http://www.ethemes.com/demo/Dale/css/font-awesome.min.css)
17:25:42	83760/83760	---M--	200	added ('OK')	application/x-font-woff	etag:%2235e1abf-14730-5660f7cc00d62%22	http://www.ethemes.com/demo/Dale/fonts/fontawesome-webfont.woff?v=4.1.0	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/fonts/fontawesome-webfont862f.woff	(from http://www.ethemes.com/demo/Dale/css/font-awesome.min.css)
